,Artist,Area
266,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano",808.6
267,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano",591.2308469999999
268,"Ernesto Bruno La Padula, Giovanni Guerrini, Mario Romano, Mario Romano, Giovanni Guerrini",469.37
269,Raimund Abraham,4880.0
270,Emilio Ambasz,4800.7
271,Emilio Ambasz,6622.97
272,Tadao Ando,465.42426600000005
273,Tadao Ando,465.42426600000005
274,Tadao Ando,4410.25
275,Tadao Ando,7480.830000000001
276,Raimund Abraham,8361.31017604
277,Tadao Ando,4410.25
278,Rafael Viñoly,4935.49393902
279,Mario Bellini,835.9200000000001
281,Rafael Viñoly,567.18403
287,Mario Bellini,1626.92
288,Rafael Viñoly,2458.07376052
289,Mario Botta,2501.61806001
290,Santiago Calatrava,5870.880000000001
291,Santiago Calatrava,6617.360000000001
292,Norman Foster,1244.15580163
293,Norman Foster,1237.50466876
294,Norman Foster,1244.15580163
295,Zaha Hadid,1250.81112551
296,Zaha Hadid,1250.81112551
297,Zaha Hadid,1250.81112551
298,Zaha Hadid,1250.81112551
307,Zaha Hadid,1250.81112551
309,Zaha Hadid,1250.81112551
310,Zaha Hadid,1250.81112551
311,Zaha Hadid,1250.81112551
312,Zaha Hadid,1250.81112551
313,Zaha Hadid,1250.81112551
314,Zaha Hadid,1250.81112551
315,Zaha Hadid,1250.81112551
316,Louis I. Kahn,1785.0
318,Ludwig Mies van der Rohe,4844.28
319,Louis I. Kahn,1403.0
320,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1577.6
321,Louis I. Kahn,2032.26314401
322,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1531.8
323,Frederick Kiesler,44980.724872160004
324,Louis I. Kahn,1570.5500000000002
325,Frederick Kiesler,42000.08008416
326,Louis I. Kahn,1567.7
327,Frederick Kiesler,30462.9529806
328,Louis I. Kahn,3278.63393676
329,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1281.28
330,Frederick Kiesler,17891.16894208
331,Louis I. Kahn,4771.656120000001
332,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1531.8
333,Louis I. Kahn,2569.21
334,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1313.34
335,Louis I. Kahn,5502.91
336,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1531.8
337,Louis I. Kahn,4876.4
338,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1508.1000000000001
339,Louis I. Kahn,3486.48
340,Raimund Abraham,5511.30076302
341,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1531.8
342,Louis I. Kahn,1625.81158201
343,Emilio Ambasz,5127.02
344,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1540.0900000000001
345,Louis I. Kahn,2941.9199999999996
346,Emilio Ambasz,3952.7999999999997
347,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1508.1000000000001
348,Louis I. Kahn,1424.3500000000001
349,Jason Crum,3550.92
350,Emilio Ambasz,3952.7999999999997
351,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1521.81
352,Louis I. Kahn,1370.8
353,Jason Crum,3870.96
354,Tadao Ando,1434.5
355,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1521.81
356,Louis I. Kahn,3400.46
357,Jason Crum,1497.2099999999998
358,Mario Bellini,1248.62
359,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1531.8
360,Louis I. Kahn,2189.9
362,Ricardo Bofill,4305.3
363,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1499.65
364,Louis I. Kahn,1955.0499999999997
365,Mario Botta,3708.3999999999996
366,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1508.1000000000001
367,Louis I. Kahn,1046.1499999999999
368,"Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio",1466.38
369,"Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis",1535.1299999999999
370,Louis I. Kahn,2467.8
371,Ricardo Bofill,8750.300000000001
372,Frank O. Gehry,698.4499999999999
373,Leon Krier,1915.3275447600001
374,Louis I. Kahn,1936.75
375,Ricardo Bofill,8492.679999999998
376,"Wolf D. Prix, Helmut Swiczinsky",256.19
377,Cesar Pelli,10322.60064004
378,Louis I. Kahn,1567.7
379,Ricardo Bofill,990.08
380,Chuck Hoberman,8840.0
381,Cesar Pelli,10322.60064004
382,Louis I. Kahn,5360.0
383,Ricardo Bofill,9254.44
384,Steven Holl,4259.58
385,Cesar Pelli,10322.60064004
386,Louis I. Kahn,2080.26
387,Ricardo Bofill,9254.44
388,Hans Hollein,1206.9
389,Cesar Pelli,10526.759999999998
390,Louis I. Kahn,1869.6499999999999
391,Ricardo Bofill,9254.44
392,Leon Krier,600.6
393,Cesar Pelli,10322.60064004
394,Louis I. Kahn,4870.8
395,Ricardo Bofill,9254.44
396,"Scott Marble, Karen Fairbanks",6498.54
397,Cesar Pelli,10322.60064004
398,Louis I. Kahn,1250.48
400,Yoshito Takahashi,2758.4400000000005
401,Cesar Pelli,10322.60064004
402,Louis I. Kahn,1155.0
403,Ricardo Bofill,9254.44
404,Bernard Tschumi,4684.6
405,Cesar Pelli,10322.60064004
406,Louis I. Kahn,6196.92
407,Ricardo Bofill,9254.44
408,Rafael Viñoly,592.76
409,Rafael Viñoly,592.76
410,Rafael Viñoly,592.76
411,Cesar Pelli,10322.60064004
412,Louis I. Kahn,5419.3648280200005
413,Louis I. Kahn,1800.00535351
414,Ricardo Bofill,9254.44
415,Cesar Pelli,10526.759999999998
416,Louis I. Kahn,5658.0599999999995
417,Louis I. Kahn,3889.07
418,Ricardo Bofill,6769.98
419,Cesar Pelli,10322.60064004
420,Louis I. Kahn,1344.15787176
421,Louis I. Kahn,5635.8
422,Theo van Doesburg (Christian Emil Marie Küpper),1717.17
423,Ricardo Bofill,6963.71
424,Cesar Pelli,10322.56
425,Louis I. Kahn,1256.6399999999999
426,Louis I. Kahn,2668.88
